timestamp,gsr_z,hr_bpm
0,1.0798,72.62
1000,1.3165,74.4
2000,1.2958,75.1
3000,1.1337,71.8
4000,1.1169,74.85
5000,1.1654,68.95
6000,1.191,70.27
7000,1.3715,62.29
8000,1.1813,68.3
9000,1.3938,70.94
10000,1.0597,63.15
11000,0.9928,63.38
12000,1.1601,63.79
13000,1.0014,72.08
14000,1.1644,76.4
15000,1.3681,65.03
16000,1.1751,62.86
17000,1.2684,68.35
18000,1.7286,69.45
19000,2.1343,69.09
20000,2.2746,66.66
21000,2.3101,67.55
22000,2.2771,68.44
23000,2.2969,70.63
24000,2.361,69.2
25000,2.2682,64.69
26000,2.3063,60.26
27000,2.219,64.13
28000,2.2901,64.23
29000,2.2233,61.07
