timestamp,gsr_z,hr_bpm
0,0.2888,65.28
1000,0.0177,63.08
2000,0.3947,61.55
3000,0.2031,69.4
4000,0.4578,69.6
5000,0.6336,67.48
6000,0.6964,70.64
7000,0.7609,74.97
8000,0.4154,73.14
9000,0.0372,72.69
10000,0.0084,68.54
11000,0.0365,69.3
12000,0.0753,65.84
13000,0.0371,62.61
14000,0.012,70.77
15000,0.1988,73.92
16000,-0.0037,70.73
17000,-0.0356,71.81
18000,0.2127,71.6
19000,0.3254,69.22
20000,-0.0233,63.69
21000,0.0886,64.28
22000,0.2375,70.96
23000,0.0814,69.23
24000,0.0049,72.26
25000,0.101,70.76
26000,0.1208,70.04
27000,0.1604,71.45
28000,0.0056,74.06
29000,0.0461,73.26
