timestamp,gsr_z,hr_bpm
0,1.206,69.29
1000,1.1597,62.67
2000,0.8097,62.1
3000,0.7752,67.93
4000,1.1657,67.65
5000,1.1207,67.01
6000,1.3157,66.99
7000,1.6345,67.66
8000,1.9656,64.45
9000,1.8546,65.72
10000,1.8561,65.52
11000,2.2871,61.9
12000,2.3122,62.29
13000,2.3633,65.3
14000,2.0477,64.65
15000,2.1337,59.04
16000,2.2958,60.8
17000,2.2399,59.27
18000,2.2932,64.31
19000,2.2708,69.45
20000,2.2828,68.35
21000,2.2889,63.51
22000,2.3615,65.91
23000,2.2713,65.79
24000,2.2657,59.53
25000,2.3414,61.68
26000,2.2976,63.44
27000,2.2901,60.66
28000,2.1857,63.7
29000,2.3318,65.99
