timestamp,gsr_z,hr_bpm
0,1.8476,60.91
1000,1.6642,62.0
2000,1.3508,65.39
3000,1.2444,62.43
4000,1.0422,64.26
5000,0.6654,61.16
6000,0.3148,59.62
7000,0.5022,62.29
8000,0.7078,59.22
9000,0.4842,65.15
10000,0.3987,60.62
11000,0.4117,59.42
12000,0.1963,62.43
13000,0.0234,64.38
14000,-0.0009,65.02
15000,0.0565,64.97
16000,0.0091,59.3
17000,-0.0369,58.94
18000,-0.0446,60.88
19000,0.0281,60.62
20000,0.0106,61.26
21000,0.0341,64.58
22000,-0.0335,67.95
23000,0.0784,68.27
24000,0.0106,68.42
25000,-0.0533,63.68
26000,-0.0085,60.84
27000,0.0013,59.09
28000,-0.0548,62.09
29000,0.3771,60.51
