timestamp,gsr_z,hr_bpm
0,1.0334,70.13
1000,1.0649,70.22
2000,1.5136,72.72
3000,1.504,73.65
4000,1.9025,70.74
5000,1.9862,70.05
6000,1.978,75.55
7000,2.0943,71.22
8000,2.2297,66.05
9000,2.0361,69.36
10000,2.2011,67.87
11000,2.1961,64.06
12000,2.0806,67.23
13000,2.3284,67.92
14000,2.2295,63.56
15000,2.2796,59.62
16000,2.2573,60.9
17000,2.2964,61.57
18000,2.3265,59.98
19000,2.2996,60.62
20000,2.2759,58.98
21000,2.2954,58.82
22000,2.3206,63.75
23000,2.26,60.94
24000,2.2905,59.57
25000,2.3093,59.39
26000,2.2694,61.15
27000,2.3067,58.81
28000,2.2854,60.82
29000,2.3417,61.91
