timestamp,gsr_z,hr_bpm
0,1.8015,66.2
1000,1.9181,66.99
2000,2.2065,70.12
3000,2.094,69.97
4000,1.7581,68.08
5000,1.8628,71.4
6000,1.6674,75.04
7000,2.3151,77.65
8000,2.2946,73.68
9000,2.2954,72.71
10000,2.3284,73.4
11000,2.3334,76.59
12000,2.3071,78.61
13000,2.2437,74.36
14000,2.2948,74.15
15000,2.2905,75.63
16000,2.2904,74.75
17000,2.3123,74.54
18000,2.2601,70.97
19000,2.3114,69.73
20000,2.3211,73.6
21000,2.2814,75.59
22000,2.2604,75.74
23000,2.3516,67.58
24000,2.3305,62.43
25000,2.3136,62.64
26000,2.3151,69.81
27000,2.3607,66.2
28000,2.2831,63.5
29000,2.3109,59.96
