timestamp,gsr_z,hr_bpm
0,1.0904,74.52
1000,0.7131,79.25
2000,0.3621,79.25
3000,0.7219,72.68
4000,0.6466,71.24
5000,0.5877,73.34
6000,0.5515,66.27
7000,0.1919,70.31
8000,0.0305,67.3
9000,0.0107,67.72
10000,0.2177,67.42
11000,0.4042,70.94
12000,0.4066,66.95
13000,0.0879,63.77
14000,-0.0496,66.08
15000,-0.0297,68.28
16000,-0.0003,64.66
17000,0.2013,66.26
18000,0.122,67.67
19000,-0.0623,63.96
20000,0.0132,63.72
21000,0.7109,69.22
22000,0.9408,65.04
23000,0.7166,59.49
24000,0.7463,64.03
25000,0.385,64.13
26000,-0.0297,63.72
27000,-0.0005,64.49
28000,0.0243,68.86
29000,-0.0218,65.8
