timestamp,gsr_z,hr_bpm
0,0.7927,59.66
1000,0.9374,65.28
2000,0.8722,60.07
3000,0.8589,62.82
4000,0.9688,60.98
5000,0.7178,62.5
6000,0.8401,58.84
7000,1.3794,64.39
8000,1.5599,65.64
9000,1.3427,66.48
10000,1.5666,61.24
11000,1.4787,64.8
12000,1.3081,67.43
13000,1.4219,68.11
14000,1.5041,70.95
15000,1.987,74.16
16000,1.6651,70.34
17000,1.8475,70.52
18000,1.8814,69.52
19000,1.805,69.5
20000,1.7679,70.95
21000,2.3276,74.24
22000,1.8851,68.3
23000,2.122,76.95
24000,2.2603,74.01
25000,2.3313,72.19
26000,2.0809,68.18
27000,2.154,76.11
28000,2.3578,74.11
29000,2.2864,72.88
