timestamp,gsr_z,hr_bpm
0,0.7627,60.07
1000,0.7154,65.21
2000,0.5884,63.17
3000,0.4748,59.0
4000,0.3928,59.22
5000,0.2421,62.38
6000,0.4392,60.87
7000,0.3168,58.09
8000,0.0683,59.52
9000,0.7307,58.93
10000,0.4231,60.75
11000,0.5753,59.51
12000,0.3474,60.11
13000,0.3873,63.36
14000,0.3913,61.67
15000,0.3112,62.18
16000,0.0728,59.98
17000,0.024,58.49
18000,0.0869,59.2
19000,0.0465,59.67
20000,0.7053,61.19
21000,0.7665,65.0
22000,0.617,59.94
23000,0.3708,59.62
24000,0.1662,62.55
25000,0.0031,61.34
26000,0.0022,61.41
27000,-0.0483,58.8
28000,-0.0357,58.78
29000,-0.0503,61.01
