timestamp,gsr_z,hr_bpm
0,0.9775,66.68
1000,1.1354,61.87
2000,0.9419,65.34
3000,1.0569,68.95
4000,1.0844,62.74
5000,1.2379,65.38
6000,0.8062,65.63
7000,0.5749,60.47
8000,0.8508,59.21
9000,0.3279,61.99
10000,0.4778,58.26
11000,0.678,59.43
12000,0.6827,65.19
13000,0.7477,66.61
14000,0.636,64.08
15000,0.2011,72.46
16000,0.4055,72.49
17000,0.5941,67.0
18000,0.1949,70.1
19000,0.0224,70.87
20000,0.1395,71.51
21000,0.0022,72.04
22000,0.0328,72.42
23000,-0.0251,73.35
24000,0.0217,72.38
25000,0.0492,71.15
26000,0.0379,66.83
27000,0.0222,67.43
28000,0.1134,70.03
29000,0.0249,69.47
