timestamp,gsr_z,hr_bpm
0,2.1613,66.29
1000,1.9588,66.41
2000,2.1343,61.4
3000,2.3549,60.23
4000,2.278,64.01
5000,2.1605,63.56
6000,1.9361,63.95
7000,2.0883,60.27
8000,2.1767,61.07
9000,2.302,64.85
10000,2.0572,61.02
11000,2.3411,59.49
12000,2.2506,68.49
13000,2.3143,69.38
14000,2.2977,69.58
15000,2.3223,67.8
16000,2.2887,67.15
17000,2.2988,68.85
18000,2.3269,69.1
19000,2.2558,65.64
20000,2.2795,68.01
21000,2.3198,68.97
22000,2.3131,71.23
23000,2.2733,64.92
24000,2.2639,69.7
25000,2.3119,72.26
26000,2.3036,75.54
27000,2.2511,73.13
28000,2.3662,68.23
29000,2.2729,65.15
