timestamp,gsr_z,hr_bpm
0,0.9572,80.79
1000,0.8627,80.19
2000,1.0029,79.14
3000,1.0398,79.83
4000,0.9946,79.54
5000,0.6946,74.48
6000,0.7401,71.12
7000,0.6944,74.27
8000,0.2903,71.03
9000,0.7352,72.03
10000,1.3353,75.76
11000,1.4577,77.8
12000,1.041,76.79
13000,1.2691,75.67
14000,0.9532,82.54
15000,0.6148,82.32
16000,0.532,79.04
17000,0.8334,84.3
18000,0.488,83.75
19000,0.2843,80.97
20000,-0.0641,77.86
21000,-0.012,84.03
22000,-0.0054,78.18
23000,0.2278,79.98
24000,0.0241,78.57
25000,-0.0044,80.54
26000,0.024,74.56
27000,0.0153,74.72
28000,0.0184,78.64
29000,0.046,74.49
