timestamp,gsr_z,hr_bpm
0,1.0659,65.38
1000,1.1696,65.09
2000,1.2951,63.1
3000,1.2755,63.72
4000,1.2401,66.29
5000,0.879,70.09
6000,1.0186,65.44
7000,0.4915,59.18
8000,0.3313,61.03
9000,0.1474,67.4
10000,0.41,62.79
11000,0.0117,63.11
12000,0.0178,60.81
13000,0.0355,59.35
14000,-0.0158,63.66
15000,0.021,67.62
16000,-0.0125,65.26
17000,0.0126,61.7
18000,-0.0158,61.68
19000,-0.0376,65.35
20000,-0.0461,64.61
21000,0.0808,66.77
22000,-0.0114,63.53
23000,-0.0301,64.71
24000,-0.0377,63.77
25000,0.0126,65.78
26000,0.0398,61.02
27000,0.0119,61.49
28000,-0.0142,60.23
29000,-0.0318,62.71
