timestamp,gsr_z,hr_bpm
0,1.206,67.66
1000,1.3453,67.38
2000,1.1309,64.0
3000,1.1164,65.17
4000,0.5947,68.32
5000,0.9591,63.87
6000,1.2976,64.3
7000,1.4182,60.64
8000,1.4616,63.53
9000,2.1268,65.53
10000,2.2965,71.09
11000,2.3079,74.0
12000,2.3151,71.43
13000,2.2672,72.97
14000,2.2986,69.56
15000,2.2998,75.68
16000,2.2877,67.1
17000,2.2926,69.82
18000,2.2806,72.84
19000,2.2434,73.45
20000,2.3398,79.0
21000,2.3146,78.86
22000,2.2876,80.29
23000,2.3131,81.84
24000,2.3448,80.8
25000,2.3,80.85
26000,2.1351,74.6
27000,2.2886,73.19
28000,2.2948,71.83
29000,2.3212,70.83
