timestamp,gsr_z,hr_bpm
0,0.3905,70.22
1000,0.4158,79.15
2000,0.5717,81.91
3000,1.1887,80.23
4000,1.3857,83.25
5000,1.2972,84.35
6000,1.1536,83.68
7000,1.9311,79.63
8000,2.2913,81.72
9000,2.2171,84.75
10000,1.9391,78.32
11000,1.8387,81.35
12000,2.0903,80.03
13000,2.2818,77.68
14000,2.3272,72.09
15000,2.1424,76.01
16000,1.8683,69.52
17000,2.2509,70.65
18000,2.3478,76.6
19000,1.5865,74.9
20000,1.8755,66.59
21000,2.2783,62.58
22000,2.3047,64.75
23000,2.3062,61.88
24000,2.3338,63.23
25000,2.3477,71.11
26000,2.2913,74.2
27000,2.2663,79.65
28000,2.2356,79.2
29000,2.3031,83.71
