timestamp,gsr_z,hr_bpm
0,1.2894,69.97
1000,1.2314,70.15
2000,1.1821,70.41
3000,1.2657,63.2
4000,1.9764,72.28
5000,2.2688,70.93
6000,2.0248,67.8
7000,1.7633,64.83
8000,1.8624,67.87
9000,1.95,70.19
10000,1.7386,63.07
11000,1.8601,62.86
12000,1.9816,61.56
13000,1.6155,63.11
14000,2.1405,63.31
15000,2.2705,65.33
16000,2.3518,60.53
17000,2.2669,66.78
18000,2.2601,68.29
19000,2.0338,61.55
20000,1.7634,63.88
21000,2.241,64.5
22000,2.2226,65.02
23000,2.2953,59.62
24000,2.2675,59.85
25000,2.3067,62.46
26000,2.2759,59.03
27000,2.2654,63.38
28000,2.3121,60.58
29000,2.2524,64.64
