timestamp,gsr_z,hr_bpm
0,0.8742,69.25
1000,0.7399,75.59
2000,0.627,75.39
3000,0.4382,75.7
4000,0.6861,73.07
5000,1.0573,71.71
6000,1.282,68.75
7000,1.1983,64.02
8000,1.4639,66.94
9000,1.3099,65.22
10000,1.7313,61.84
11000,1.7705,58.68
12000,1.3279,60.19
13000,1.2718,67.59
14000,0.9531,67.12
15000,1.3382,60.51
16000,1.4522,67.79
17000,1.7964,70.47
18000,1.7273,64.88
19000,1.5005,64.25
20000,1.1937,72.35
21000,1.1759,74.09
22000,1.3228,71.46
23000,1.6883,69.64
24000,2.0374,71.88
25000,2.146,73.17
26000,2.2961,69.99
27000,2.3229,70.05
28000,2.2723,71.23
29000,2.1048,68.59
