timestamp,gsr_z,hr_bpm
0,0.898,65.53
1000,0.6915,67.78
2000,0.6801,66.13
3000,0.8499,67.92
4000,0.6269,72.61
5000,0.593,68.48
6000,0.1605,68.06
7000,0.227,73.31
8000,0.5619,71.48
9000,0.7745,69.63
10000,0.4108,71.67
11000,0.4706,68.25
12000,0.5602,70.0
13000,0.552,68.18
14000,-0.0208,71.32
15000,0.1845,66.3
16000,0.3563,68.8
17000,0.0381,64.81
18000,-0.0073,69.15
19000,0.0657,73.68
20000,0.0048,71.77
21000,0.0094,68.97
22000,-0.0291,76.44
23000,-0.0258,78.78
24000,0.0173,78.51
25000,0.0259,79.52
26000,0.0479,77.59
27000,-0.0107,73.54
28000,0.0343,78.8
29000,0.0246,77.46
