timestamp,gsr_z,hr_bpm
0,2.0042,76.88
1000,1.8222,73.92
2000,1.2382,72.26
3000,1.2205,70.01
4000,1.7417,74.09
5000,2.3156,69.62
6000,2.2965,67.59
7000,2.1017,62.37
8000,1.5225,68.77
9000,0.9768,69.48
10000,1.007,69.71
11000,0.9335,70.76
12000,0.487,68.84
13000,0.0946,71.08
14000,0.35,71.6
15000,0.3343,71.64
16000,0.32,74.33
17000,0.2881,74.18
18000,0.0966,74.93
19000,0.4007,68.01
20000,0.0053,69.25
21000,0.1903,77.61
22000,0.3284,74.26
23000,0.4723,68.13
24000,0.1574,69.76
25000,-0.0144,76.36
26000,-0.0357,75.31
27000,0.0119,74.83
28000,0.0108,78.49
29000,0.0323,82.98
