timestamp,gsr_z,hr_bpm
0,0.8642,59.92
1000,1.0824,68.21
2000,1.0406,64.56
3000,1.2135,64.54
4000,1.2552,63.0
5000,1.2189,67.7
6000,1.2092,69.96
7000,1.0708,71.3
8000,1.4221,74.41
9000,1.4312,73.08
10000,1.3919,80.25
11000,1.3977,71.35
12000,0.9306,71.58
13000,0.9022,69.69
14000,1.0512,69.58
15000,1.2632,65.83
16000,0.9965,60.65
17000,1.4293,65.2
18000,1.3493,66.21
19000,1.883,64.07
20000,2.2873,64.35
21000,2.2324,64.22
22000,2.273,68.06
23000,2.2846,68.71
24000,2.24,65.4
25000,2.2824,69.24
26000,2.1295,70.0
27000,2.3193,68.51
28000,2.2648,64.91
29000,2.3403,70.66
