timestamp,gsr_z,hr_bpm
0,0.7566,58.5
1000,0.7556,60.18
2000,0.7407,62.22
3000,1.1527,61.21
4000,0.8529,58.83
5000,2.1458,59.23
6000,2.3337,58.77
7000,2.1962,62.98
8000,2.2202,61.4
9000,1.9711,59.0
10000,2.2567,58.32
11000,2.3004,61.72
12000,2.2805,61.38
13000,2.3177,62.31
14000,2.3331,62.5
15000,2.2802,65.75
16000,2.2589,69.3
17000,2.3189,68.26
18000,2.2942,68.15
19000,2.3281,60.65
20000,2.2818,65.18
21000,2.2976,70.28
22000,2.2815,72.72
23000,2.2372,68.6
24000,2.2873,64.29
25000,2.2883,58.6
26000,2.3236,60.6
27000,2.2771,61.95
28000,2.2814,59.37
29000,2.2797,60.03
