timestamp,gsr_z,hr_bpm
0,0.8703,69.72
1000,0.9004,70.11
2000,0.682,67.28
3000,0.4641,68.62
4000,0.5077,73.62
5000,0.8216,73.14
6000,0.7263,73.33
7000,0.6504,73.49
8000,1.2041,72.35
9000,0.8999,79.27
10000,0.8327,74.96
11000,0.9441,71.99
12000,1.8439,74.14
13000,2.2842,71.76
14000,2.2896,65.55
15000,2.3359,65.28
16000,2.2638,67.11
17000,2.1757,65.51
18000,2.328,60.74
19000,1.6556,59.45
20000,2.1619,62.93
21000,2.2819,66.32
22000,2.0067,63.22
23000,2.107,60.34
24000,2.302,60.82
25000,2.3356,69.4
26000,2.0873,63.29
27000,1.9178,58.94
28000,1.9124,59.3
29000,2.0018,61.81
