timestamp,gsr_z,hr_bpm
0,2.5544,68.08
1000,2.7965,67.19
2000,3.4281,73.47
3000,3.1594,74.01
4000,2.8923,69.61
5000,3.0631,67.17
6000,4.4994,74.05
7000,4.531,76.67
8000,4.5465,72.32
9000,4.4601,79.08
10000,4.4441,84.51
11000,4.507,82.31
12000,4.463,84.25
13000,4.5339,81.95
14000,4.4498,77.86
15000,4.5146,82.61
16000,4.4834,76.45
17000,4.4601,78.97
18000,4.5031,77.71
19000,4.553,72.6
20000,4.5352,70.34
21000,4.4974,74.46
22000,4.5147,71.49
23000,4.5093,70.32
24000,4.4963,73.59
25000,4.5022,69.21
26000,4.443,73.87
27000,4.5454,70.7
28000,4.4568,73.63
29000,4.5641,75.47
