timestamp,gsr_z,hr_bpm
0,2.2566,80.45
1000,4.0565,78.0
2000,4.4728,79.86
3000,4.0561,78.9
4000,4.2599,77.92
5000,4.532,73.69
6000,4.4973,69.6
7000,4.5286,72.21
8000,4.4531,67.81
9000,4.4936,75.2
10000,4.2106,73.74
11000,3.365,75.81
12000,2.3825,73.99
13000,2.0594,71.62
14000,1.5484,74.28
15000,0.7961,75.92
16000,0.8555,74.33
17000,0.7403,70.21
18000,0.8077,75.16
19000,0.7863,74.49
20000,0.7797,74.03
21000,0.8203,78.94
22000,0.7989,84.24
23000,0.7662,80.32
24000,0.7997,77.94
25000,0.8331,82.95
26000,0.8049,77.28
27000,0.8377,77.94
28000,0.7985,71.67
29000,1.1246,67.86
