timestamp,gsr_z,hr_bpm
0,3.2657,68.11
1000,4.3404,74.58
2000,4.4911,78.75
3000,4.5217,82.97
4000,4.3942,75.32
5000,4.4902,76.93
6000,4.5511,74.91
7000,4.5475,71.99
8000,4.4734,70.67
9000,4.1266,68.55
10000,3.927,67.58
11000,4.0855,73.38
12000,4.4761,69.99
13000,3.6747,67.68
14000,1.5744,68.82
15000,1.5263,70.89
16000,0.7908,69.65
17000,0.8257,69.16
18000,1.4355,67.22
19000,1.1687,68.68
20000,2.586,73.66
21000,1.908,74.23
22000,2.4015,68.26
23000,2.0354,70.51
24000,1.7936,70.97
25000,1.5518,70.64
26000,0.7687,67.17
27000,0.8711,71.95
28000,0.7446,76.81
29000,1.7727,77.78
