timestamp,gsr_z,hr_bpm
0,2.6267,82.47
1000,4.3053,83.38
2000,4.5469,94.52
3000,3.7461,95.81
4000,3.4222,92.66
5000,2.7439,93.53
6000,2.666,84.63
7000,2.5393,91.09
8000,2.4059,86.09
9000,1.5353,82.54
10000,1.5138,77.52
11000,1.4756,82.0
12000,1.0263,83.27
13000,0.841,77.87
14000,0.7853,77.04
15000,0.7688,73.76
16000,1.8482,76.68
17000,2.8061,79.64
18000,2.4313,80.87
19000,1.5855,90.65
20000,0.9725,90.7
21000,0.9644,88.7
22000,0.8031,83.65
23000,0.852,87.97
24000,2.1424,75.08
25000,3.7681,84.66
26000,4.2804,78.02
27000,4.098,77.92
28000,3.7087,78.03
29000,3.2612,80.54
