timestamp,gsr_z,hr_bpm
0,1.8459,66.92
1000,1.7997,68.65
2000,2.2342,67.91
3000,2.881,67.67
4000,3.0316,68.04
5000,2.7391,69.32
6000,3.1834,72.42
7000,3.6174,78.18
8000,4.3772,74.87
9000,4.4911,70.01
10000,4.5207,67.1
11000,4.4943,74.07
12000,4.4996,75.29
13000,4.5024,69.8
14000,4.5284,67.95
15000,4.4765,68.02
16000,4.5053,71.51
17000,4.5114,75.38
18000,4.4689,74.94
19000,4.5295,72.78
20000,4.4568,73.71
21000,4.5327,77.33
22000,4.4969,80.3
23000,4.4864,72.78
24000,4.5132,76.24
25000,4.4797,73.97
26000,4.5132,78.57
27000,4.4987,78.17
28000,4.4848,73.87
29000,4.489,73.84
