timestamp,gsr_z,hr_bpm
0,3.2597,82.67
1000,3.1258,83.49
2000,3.5305,82.79
3000,4.5237,86.63
4000,4.5099,85.22
5000,4.5923,88.02
6000,4.5579,77.03
7000,4.3607,74.59
8000,4.524,76.35
9000,4.4888,78.96
10000,4.4962,80.85
11000,4.4568,82.39
12000,4.2944,78.3
13000,4.4863,84.4
14000,4.4989,79.46
15000,4.4041,82.5
16000,4.5398,87.8
17000,3.753,84.96
18000,3.9477,83.39
19000,4.4844,87.87
20000,4.4989,90.7
21000,4.4873,87.23
22000,4.531,89.01
23000,4.5111,91.49
24000,4.5409,86.7
25000,4.5211,91.47
26000,4.4914,92.27
27000,4.468,91.0
28000,4.4704,90.11
29000,4.5198,91.12
