timestamp,gsr_z,hr_bpm
0,2.4132,81.0
1000,2.1745,75.25
2000,2.3641,71.1
3000,2.1242,69.12
4000,4.0316,79.77
5000,4.5364,80.78
6000,4.5219,77.85
7000,4.5233,74.7
8000,4.5002,74.68
9000,4.4576,79.11
10000,4.5104,86.68
11000,4.461,84.01
12000,4.4359,87.2
13000,4.3339,87.95
14000,4.5245,81.7
15000,4.5203,83.86
16000,4.5065,85.29
17000,4.4923,72.72
18000,4.5182,74.92
19000,4.4874,77.99
20000,4.4988,79.3
21000,4.4548,86.65
22000,4.53,77.04
23000,4.4571,75.64
24000,4.4959,76.28
25000,4.4955,71.98
26000,4.5203,68.75
27000,4.5163,69.04
28000,4.5371,71.36
29000,4.472,75.37
