timestamp,gsr_z,hr_bpm
0,1.9003,83.7
1000,2.3336,81.17
2000,2.9346,86.06
3000,3.0966,85.51
4000,3.8145,82.93
5000,4.5096,80.44
6000,4.5185,80.56
7000,4.5226,79.17
8000,4.3484,83.07
9000,4.0559,88.16
10000,3.8716,82.67
11000,3.9839,82.9
12000,3.3106,82.55
13000,2.7345,85.3
14000,3.9834,85.13
15000,3.9339,87.64
16000,3.4129,89.28
17000,4.4989,90.94
18000,4.4916,94.97
19000,4.4958,89.43
20000,3.7654,93.35
21000,2.9683,90.85
22000,2.6414,94.74
23000,2.2944,93.77
24000,1.5799,86.9
25000,1.138,85.54
26000,0.7691,80.33
27000,0.7963,84.16
28000,0.7787,89.35
29000,0.7603,84.62
