timestamp,gsr_z,hr_bpm
0,1.3966,68.63
1000,1.3309,67.67
2000,0.8377,73.07
3000,1.0035,70.99
4000,1.0977,74.36
5000,0.8221,79.77
6000,1.4309,78.92
7000,2.1422,71.77
8000,2.0444,79.85
9000,1.5234,82.82
10000,2.8514,78.25
11000,2.5615,73.39
12000,2.4887,72.17
13000,2.2345,68.99
14000,1.443,75.46
15000,1.5251,73.1
16000,0.875,74.42
17000,0.8337,72.43
18000,0.8456,69.37
19000,1.2905,70.2
20000,1.796,71.68
21000,1.9233,72.16
22000,1.7389,76.14
23000,1.5624,79.78
24000,1.9099,74.84
25000,1.5506,74.65
26000,1.657,68.05
27000,1.7065,66.47
28000,1.312,68.95
29000,0.8237,75.55
