timestamp,gsr_z,hr_bpm
0,1.6141,75.71
1000,1.9661,72.62
2000,2.4698,77.19
3000,2.5716,75.31
4000,2.1833,66.79
5000,1.4212,79.79
6000,1.5286,72.27
7000,2.2806,67.42
8000,1.8021,67.72
9000,1.292,72.96
10000,0.9945,73.11
11000,1.3306,71.86
12000,0.8226,72.65
13000,0.8703,73.26
14000,0.7872,81.24
15000,0.805,86.79
16000,0.7586,87.45
17000,0.8745,83.19
18000,0.9344,85.77
19000,1.1862,84.85
20000,2.2844,86.59
21000,2.3994,85.84
22000,2.59,87.55
23000,3.7774,89.26
24000,4.2205,87.66
25000,3.7284,81.52
26000,3.8952,82.74
27000,3.439,83.06
28000,3.0799,92.38
29000,1.789,84.95
