timestamp,gsr_z,hr_bpm
0,2.7343,88.24
1000,2.2731,95.68
2000,1.5937,95.41
3000,1.4558,89.89
4000,1.3994,86.99
5000,1.4255,84.03
6000,1.8918,86.06
7000,0.797,86.53
8000,0.7583,83.94
9000,0.7759,81.22
10000,0.7186,76.49
11000,0.7109,79.56
12000,0.7839,80.22
13000,0.8308,83.72
14000,0.827,85.53
15000,0.771,83.54
16000,0.7973,76.84
17000,0.8519,80.81
18000,0.9148,88.42
19000,0.7633,84.56
20000,0.7821,83.3
21000,0.7681,85.08
22000,0.808,87.03
23000,0.8475,86.05
24000,0.7591,94.53
25000,0.8595,95.66
26000,0.7365,91.32
27000,0.7721,85.62
28000,0.8444,87.87
29000,0.7876,90.88
