timestamp,gsr_z,hr_bpm
0,2.0676,72.19
1000,2.3886,72.9
2000,2.5247,72.64
3000,2.508,70.94
4000,3.1729,76.76
5000,1.9849,74.67
6000,1.4667,67.84
7000,1.6026,66.87
8000,1.9035,70.09
9000,1.7494,69.62
10000,1.911,78.75
11000,2.1483,81.45
12000,2.9115,83.28
13000,4.5154,80.84
14000,4.4949,79.58
15000,4.5328,85.01
16000,4.4736,91.81
17000,4.4504,86.31
18000,4.5182,86.68
19000,4.5656,88.5
20000,4.5498,85.6
21000,4.5163,92.18
22000,4.4885,86.35
23000,4.5025,88.55
24000,4.4466,91.53
25000,4.5286,88.04
26000,4.4664,89.41
27000,4.5102,88.7
28000,4.5147,82.8
29000,4.4789,67.09
