timestamp,gsr_z,hr_bpm
0,3.0796,80.42
1000,2.5476,87.11
2000,2.9063,81.41
3000,2.311,83.41
4000,4.1325,94.34
5000,4.5276,94.39
6000,4.4918,86.22
7000,4.4448,85.35
8000,4.4744,88.51
9000,4.4631,85.16
10000,4.4487,85.94
11000,4.5221,90.49
12000,4.398,87.08
13000,4.4451,88.15
14000,4.4347,90.83
15000,4.4477,93.44
16000,4.466,88.63
17000,4.4701,86.23
18000,4.4658,84.53
19000,4.4929,83.37
20000,4.5526,79.93
21000,4.4565,84.81
22000,4.5015,84.78
23000,4.5157,78.98
24000,4.4383,82.7
25000,4.5298,85.1
26000,4.5211,83.17
27000,4.5316,75.92
28000,4.4752,73.94
29000,4.5003,74.97
