timestamp,gsr_z,hr_bpm
0,1.5272,74.72
1000,2.2099,72.39
2000,2.4839,67.17
3000,1.7848,67.18
4000,2.0262,68.51
5000,3.2025,70.14
6000,3.8159,71.3
7000,3.4817,74.14
8000,3.0004,77.46
9000,2.5765,76.83
10000,3.2057,78.53
11000,2.5714,71.22
12000,1.6731,66.93
13000,0.7843,77.08
14000,0.7307,80.58
15000,1.1309,83.67
16000,0.9382,84.0
17000,0.7675,76.0
18000,1.9544,73.65
19000,2.3131,70.28
20000,2.1728,71.26
21000,2.3475,66.66
22000,2.3114,69.41
23000,1.3508,77.24
24000,2.1046,78.58
25000,1.3425,82.21
26000,1.13,85.64
27000,0.7893,83.64
28000,0.7427,80.99
29000,0.8197,88.33
