timestamp,gsr_z,hr_bpm
0,2.7052,85.7
1000,1.4585,83.15
2000,1.4449,72.21
3000,1.1736,70.47
4000,2.2373,66.8
5000,1.9561,74.18
6000,3.8805,82.03
7000,4.527,80.37
8000,4.4817,85.93
9000,4.4917,84.92
10000,4.4728,84.86
11000,4.5345,88.84
12000,4.4679,91.76
13000,4.4872,86.2
14000,4.4752,81.9
15000,4.4689,81.22
16000,4.4608,83.0
17000,4.5695,75.66
18000,4.5305,74.3
19000,4.4605,73.93
20000,4.4852,70.15
21000,4.494,78.38
22000,4.4822,74.36
23000,4.5521,76.97
24000,4.5087,79.38
25000,4.5007,82.26
26000,4.5204,77.06
27000,4.5389,75.87
28000,4.5381,79.18
29000,4.5241,86.25
