timestamp,gsr_z,hr_bpm
0,3.4696,76.64
1000,4.2633,82.08
2000,3.2486,73.22
3000,2.7654,71.71
4000,2.2916,68.11
5000,2.817,68.26
6000,2.876,67.87
7000,2.2412,74.23
8000,3.0596,75.11
9000,3.6036,78.11
10000,4.0037,76.25
11000,4.2149,76.15
12000,4.1455,70.42
13000,4.3257,70.78
14000,3.5143,69.29
15000,3.2188,72.36
16000,3.4622,69.36
17000,3.8886,67.03
18000,3.8793,70.1
19000,3.7412,73.99
20000,3.667,72.85
21000,4.2037,71.12
22000,4.4818,73.26
23000,4.4973,74.76
24000,4.3581,69.1
25000,4.4698,69.35
26000,4.4713,71.25
27000,4.5198,69.23
28000,4.5198,67.6
29000,4.4611,69.7
