timestamp,gsr_z,hr_bpm
0,2.6384,77.03
1000,3.006,77.51
2000,2.8543,76.86
3000,2.6552,67.77
4000,3.6605,67.62
5000,2.9863,72.94
6000,2.5994,74.94
7000,4.2368,74.28
8000,3.9402,70.06
9000,4.2379,68.43
10000,4.4785,70.68
11000,3.8704,76.91
12000,3.3769,76.46
13000,2.834,76.44
14000,2.2277,69.62
15000,1.4221,68.09
16000,1.9462,71.83
17000,2.5795,71.03
18000,2.8792,75.74
19000,2.3055,74.98
20000,2.0627,78.28
21000,0.8728,77.67
22000,0.8344,74.19
23000,0.747,66.44
24000,0.8036,70.05
25000,1.2691,69.92
26000,1.187,68.09
27000,0.7957,67.91
28000,0.8427,68.8
29000,0.8024,67.11
