timestamp,gsr_z,hr_bpm
0,2.305,72.71
1000,1.5998,69.85
2000,1.3582,71.33
3000,1.7519,74.82
4000,1.6796,74.76
5000,1.1042,77.63
6000,0.8085,73.94
7000,1.1563,77.83
8000,1.6634,85.85
9000,2.6615,90.16
10000,3.1854,81.63
11000,3.2184,79.93
12000,2.6913,70.04
13000,2.5719,67.14
14000,2.767,66.66
15000,3.2598,67.44
16000,4.5227,69.93
17000,4.4707,67.51
18000,4.5137,69.43
19000,4.5137,73.57
20000,4.5312,77.57
21000,4.5539,74.23
22000,4.5292,79.68
23000,4.5325,77.69
24000,4.4881,80.4
25000,4.4742,75.41
26000,4.4842,71.7
27000,4.4473,71.76
28000,4.5371,67.29
29000,4.462,67.41
