timestamp,gsr_z,hr_bpm
0,2.1404,72.42
1000,1.9345,76.74
2000,1.7929,77.02
3000,1.6788,72.6
4000,2.115,69.94
5000,2.1972,70.94
6000,2.7146,73.13
7000,2.893,74.7
8000,2.7479,74.88
9000,3.4529,67.7
10000,4.2776,72.14
11000,4.4444,74.22
12000,4.4779,71.9
13000,4.4885,67.76
14000,4.4992,73.3
15000,4.5096,77.28
16000,4.5143,69.26
17000,4.5486,67.64
18000,4.5059,69.36
19000,4.5083,69.95
20000,4.4973,67.43
21000,4.2557,68.06
22000,4.5294,73.86
23000,4.4964,76.53
24000,4.5011,75.3
25000,4.5221,74.44
26000,4.4833,67.8
27000,4.5163,74.39
28000,4.5246,77.51
29000,4.5659,74.55
