timestamp,gsr_z,hr_bpm
0,0.8261,54.8
1000,0.7073,54.12
2000,0.5812,51.59
3000,0.4977,51.48
4000,0.4377,53.01
5000,0.283,58.41
6000,0.0819,59.36
7000,-0.0397,54.15
8000,0.1655,51.9
9000,0.6718,53.15
10000,1.0847,55.44
11000,1.231,55.11
12000,1.1792,51.82
13000,1.0955,51.81
14000,1.2407,51.56
15000,1.1994,56.91
16000,1.0155,60.64
17000,0.7421,54.56
18000,0.4112,54.53
19000,0.2118,53.16
20000,0.2463,55.75
21000,0.0368,57.5
22000,-0.0388,55.49
23000,-0.0957,52.56
24000,-0.5675,52.44
25000,-0.5495,53.2
26000,-0.5999,55.01
27000,-0.4703,53.84
28000,-0.5962,52.27
29000,-0.5963,51.75
