timestamp,gsr_z,hr_bpm
0,0.8273,75.79
1000,0.8653,73.23
2000,0.7631,74.66
3000,0.6831,76.35
4000,0.4591,76.46
5000,0.3439,74.01
6000,0.2497,75.36
7000,0.1922,76.33
8000,0.2544,75.77
9000,0.1904,70.3
10000,-0.0952,72.0
11000,-0.2262,72.14
12000,-0.2159,68.75
13000,-0.2893,63.09
14000,-0.3331,64.65
15000,-0.4102,68.61
16000,-0.574,64.5
17000,-0.5993,62.36
18000,-0.5759,68.77
19000,-0.3421,76.26
20000,-0.0725,74.71
21000,-0.014,73.28
22000,-0.2359,74.73
23000,-0.2015,74.41
24000,-0.4845,70.48
25000,-0.5152,65.23
26000,-0.5939,70.42
27000,-0.4951,68.45
28000,-0.6266,63.42
29000,-0.6094,63.48
