timestamp,gsr_z,hr_bpm
0,-0.0047,56.12
1000,-0.025,57.44
2000,0.0613,62.85
3000,0.1092,59.85
4000,0.1953,60.28
5000,0.0207,63.42
6000,0.1908,65.24
7000,-0.0398,63.66
8000,-0.3194,58.6
9000,-0.2912,66.5
10000,-0.0894,67.94
11000,-0.1563,61.67
12000,-0.4805,57.36
13000,-0.5769,61.53
14000,-0.6542,66.39
15000,-0.6114,63.22
16000,-0.4993,62.24
17000,-0.5575,66.32
18000,-0.5813,62.41
19000,-0.6259,58.32
20000,-0.5096,58.81
21000,-0.6164,62.62
22000,-0.5114,61.19
23000,-0.5339,59.12
24000,-0.5762,61.21
25000,-0.5898,62.8
26000,-0.5789,60.42
27000,-0.6017,52.88
28000,-0.5828,57.53
29000,-0.6063,55.44
