timestamp,gsr_z,hr_bpm
0,0.235,57.66
1000,0.3616,54.68
2000,0.4376,52.12
3000,0.4382,52.43
4000,0.492,56.08
5000,0.3227,54.68
6000,0.3267,53.61
7000,0.0928,57.27
8000,-0.1959,61.79
9000,0.0905,57.46
10000,0.0628,54.45
11000,-0.1036,58.86
12000,-0.1452,64.17
13000,-0.3543,59.84
14000,-0.6134,54.77
15000,-0.5509,53.74
16000,-0.606,53.95
17000,-0.5482,51.58
18000,-0.6526,52.48
19000,-0.4103,56.92
20000,-0.4561,54.74
21000,-0.6222,53.83
22000,-0.5986,51.51
23000,-0.6169,62.32
24000,-0.572,60.06
25000,-0.5997,55.68
26000,-0.6064,59.48
27000,-0.6539,67.26
28000,-0.6451,67.28
29000,-0.6101,60.42
