timestamp,gsr_z,hr_bpm
0,0.5726,65.1
1000,0.533,66.03
2000,0.6714,69.01
3000,0.6619,62.96
4000,0.8434,57.09
5000,0.7889,58.25
6000,0.6301,60.58
7000,0.5311,56.18
8000,0.4711,58.08
9000,0.5079,64.83
10000,0.2288,62.53
11000,0.1805,57.38
12000,0.0057,59.71
13000,-0.1813,66.7
14000,-0.1751,60.57
15000,-0.1899,57.61
16000,-0.2424,60.73
17000,-0.3895,61.78
18000,-0.2826,58.79
19000,-0.2803,63.42
20000,-0.4391,64.3
21000,-0.2382,60.88
22000,-0.3082,55.46
23000,-0.2044,61.17
24000,-0.286,67.41
25000,-0.4721,61.51
26000,-0.5268,62.12
27000,-0.6,64.52
28000,-0.6312,63.98
29000,-0.6029,59.74
