timestamp,gsr_z,hr_bpm
0,-0.2958,60.25
1000,-0.2847,57.61
2000,0.1208,58.51
3000,0.2793,61.98
4000,0.6007,59.06
5000,0.8294,54.32
6000,1.1285,61.65
7000,1.3796,57.9
8000,1.4384,60.12
9000,1.159,67.5
10000,1.3565,68.32
11000,1.1958,62.02
12000,1.3688,64.59
13000,1.4288,65.25
14000,1.4719,62.4
15000,1.3326,62.77
16000,1.3862,72.42
17000,1.2531,66.06
18000,1.2281,64.08
19000,1.4076,71.43
20000,1.3801,71.09
21000,1.2724,68.58
22000,1.4299,72.77
23000,1.3805,73.78
24000,1.3325,67.62
25000,1.4064,71.1
26000,1.384,72.68
27000,1.3853,66.28
28000,1.367,65.6
29000,1.3859,70.29
