timestamp,gsr_z,hr_bpm
0,0.422,68.04
1000,0.2411,68.81
2000,0.1316,64.05
3000,0.3711,65.98
4000,0.5809,69.17
5000,0.5023,68.28
6000,0.3683,67.48
7000,0.4358,68.49
8000,0.5366,68.46
9000,0.3217,65.36
10000,0.1922,68.52
11000,0.0394,71.82
12000,0.1414,64.64
13000,-0.0952,65.9
14000,-0.321,70.38
15000,-0.3457,63.93
16000,-0.2513,65.57
17000,-0.1669,71.21
18000,-0.4362,65.22
19000,-0.5365,62.91
20000,-0.5924,63.23
21000,-0.6432,61.9
22000,-0.6091,59.36
23000,-0.6684,61.4
24000,-0.5192,60.96
25000,-0.6657,55.41
26000,-0.5692,55.86
27000,-0.5903,63.25
28000,-0.6079,62.31
29000,-0.5629,61.22
