timestamp,gsr_z,hr_bpm
0,0.6226,68.11
1000,0.4621,64.73
2000,0.1816,67.73
3000,0.4974,65.09
4000,0.2495,60.33
5000,0.3088,65.39
6000,0.3305,66.78
7000,0.2547,62.3
8000,0.4664,62.17
9000,0.5188,67.14
10000,0.5011,61.2
11000,0.8156,61.18
12000,0.6011,65.3
13000,0.8508,68.33
14000,0.8873,64.23
15000,0.8917,67.68
16000,1.2583,70.91
17000,1.4035,65.26
18000,1.4233,67.95
19000,1.3507,72.1
20000,1.452,69.34
21000,1.3617,66.57
22000,1.4067,67.41
23000,1.4347,69.32
24000,1.3519,64.18
25000,1.3375,65.71
26000,1.3478,68.34
27000,1.2784,61.09
28000,1.2704,61.49
29000,1.4011,67.15
