timestamp,gsr_z,hr_bpm
0,0.3477,51.87
1000,0.2104,52.74
2000,0.5989,54.86
3000,0.6387,54.67
4000,0.8835,54.49
5000,1.0675,52.6
6000,0.8984,52.44
7000,1.154,53.14
8000,1.1469,55.14
9000,1.0461,57.52
10000,1.1761,53.6
11000,1.2122,53.58
12000,1.1728,57.66
13000,1.3929,59.95
14000,1.4041,61.54
15000,1.3686,58.97
16000,1.4328,58.4
17000,1.4108,62.81
18000,1.3937,64.23
19000,1.3356,62.93
20000,1.4305,58.86
21000,1.4119,58.89
22000,1.4272,59.84
23000,1.3916,63.4
24000,1.3851,63.45
25000,1.3708,59.36
26000,1.4263,57.43
27000,1.3847,64.24
28000,1.4005,64.54
29000,1.4404,67.36
