timestamp,gsr_z,hr_bpm
0,-0.17,61.76
1000,-0.1412,56.31
2000,-0.0549,61.7
3000,0.2458,67.11
4000,0.5309,63.44
5000,0.6277,63.15
6000,0.6859,61.46
7000,0.8797,61.15
8000,0.9738,55.42
9000,1.1066,52.26
10000,1.0407,57.02
11000,0.858,59.12
12000,1.0252,55.89
13000,1.0448,57.72
14000,1.0728,64.54
15000,1.3246,62.51
16000,1.3827,56.06
17000,1.377,56.33
18000,1.358,58.34
19000,1.3738,54.78
20000,1.3791,54.6
21000,1.4271,57.45
22000,1.3603,53.87
23000,1.4378,53.22
24000,1.4263,56.17
25000,1.3811,61.01
26000,1.2474,58.96
27000,1.3915,54.21
28000,1.3948,66.03
29000,1.3318,68.63
