timestamp,gsr_z,hr_bpm
0,0.2178,60.72
1000,0.1501,58.54
2000,0.1483,62.34
3000,0.1235,63.73
4000,0.1091,58.88
5000,-0.1002,61.05
6000,-0.3489,62.6
7000,-0.2472,59.73
8000,-0.2731,57.64
9000,-0.1338,59.86
10000,-0.2526,54.42
11000,-0.1411,53.53
12000,-0.0784,59.74
13000,-0.2508,62.39
14000,-0.0346,56.47
15000,-0.2379,61.01
16000,-0.314,64.06
17000,-0.2707,61.55
18000,-0.2973,59.55
19000,-0.2803,67.5
20000,-0.4921,63.66
21000,-0.5466,59.62
22000,-0.5544,62.73
23000,-0.5952,67.22
24000,-0.6241,63.42
25000,-0.6383,63.94
26000,-0.5673,67.08
27000,-0.5187,67.89
28000,-0.5057,61.32
29000,-0.5246,61.16
