timestamp,gsr_z,hr_bpm
0,0.8171,68.6
1000,0.6733,62.24
2000,0.6377,57.77
3000,0.6849,61.87
4000,0.7831,57.89
5000,0.7006,57.85
6000,0.5186,62.92
7000,0.5006,63.67
8000,0.4554,58.77
9000,0.3675,59.01
10000,0.2206,65.21
11000,0.2274,60.22
12000,0.4665,56.32
13000,0.6752,59.8
14000,0.6127,60.62
15000,0.7127,63.92
16000,0.6581,63.25
17000,0.7051,66.31
18000,0.6946,59.01
19000,0.7849,58.67
20000,0.7821,59.91
21000,0.6239,57.44
22000,0.6269,55.12
23000,0.696,58.65
24000,0.6886,62.53
25000,0.574,57.46
26000,0.9262,58.06
27000,1.1117,60.75
28000,1.2096,56.99
29000,1.0387,55.31
