timestamp,gsr_z,hr_bpm
0,0.141,57.91
1000,0.1343,57.55
2000,0.0174,55.79
3000,0.0191,63.94
4000,0.1251,67.2
5000,-0.0027,65.3
6000,0.0933,63.47
7000,0.6824,62.06
8000,0.8079,61.67
9000,0.8124,60.11
10000,0.7275,62.11
11000,0.722,63.5
12000,0.394,56.87
13000,0.215,56.74
14000,0.0676,60.0
15000,-0.2303,57.91
16000,0.1231,54.09
17000,0.1733,58.72
18000,0.1096,62.25
19000,-0.1826,60.94
20000,0.0057,64.85
21000,-0.2587,69.65
22000,-0.3926,61.96
23000,-0.6035,54.09
24000,-0.5831,57.83
25000,-0.6326,59.33
26000,-0.6233,54.27
27000,-0.6509,54.6
28000,-0.6202,60.64
29000,-0.5707,55.07
