timestamp,gsr_z,hr_bpm
0,-0.1063,64.33
1000,-0.0053,62.05
2000,0.1955,63.78
3000,0.2314,66.61
4000,0.0323,70.75
5000,-0.0363,67.62
6000,0.2643,63.2
7000,0.2689,65.96
8000,0.3053,69.43
9000,0.406,68.94
10000,0.5305,64.96
11000,0.6181,64.59
12000,0.4445,68.52
13000,0.4302,70.78
14000,0.471,69.72
15000,0.7385,68.85
16000,0.7834,64.7
17000,0.7793,65.93
18000,0.958,66.75
19000,1.1301,65.5
20000,1.4305,61.97
21000,1.3939,59.09
22000,1.3908,54.8
23000,1.3793,58.56
24000,1.4182,61.05
25000,1.3813,60.12
26000,1.4012,55.27
27000,1.39,56.19
28000,1.4112,55.72
29000,1.3793,56.76
