timestamp,gsr_z,hr_bpm
0,0.4861,52.79
1000,0.2742,53.48
2000,0.2462,56.18
3000,0.1348,58.97
4000,0.1802,61.83
5000,0.2325,58.07
6000,0.1048,55.29
7000,0.0188,60.58
8000,0.1192,61.46
9000,-0.0114,57.48
10000,0.4266,55.45
11000,0.3209,55.09
12000,0.3815,60.99
13000,0.4629,63.61
14000,0.4162,61.13
15000,0.2861,59.2
16000,0.0552,60.56
17000,-0.3737,60.26
18000,-0.3745,60.02
19000,-0.2224,55.19
20000,-0.4236,54.16
21000,-0.5486,60.61
22000,-0.5689,58.44
23000,-0.6352,55.38
24000,-0.6042,52.61
25000,-0.5583,54.87
26000,-0.5642,59.82
27000,-0.5974,59.58
28000,-0.5829,55.12
29000,-0.5752,57.3
