timestamp,gsr_z,hr_bpm
0,-0.1454,67.1
1000,-0.2978,63.22
2000,-0.2666,58.84
3000,-0.3641,65.11
4000,-0.4252,67.15
5000,-0.3427,67.4
6000,-0.0455,68.24
7000,0.0801,71.38
8000,0.2215,70.87
9000,0.5964,66.43
10000,0.594,63.2
11000,0.425,65.04
12000,0.3351,61.23
13000,0.5292,54.46
14000,0.7911,53.48
15000,0.9478,57.99
16000,1.014,61.97
17000,1.2743,53.9
18000,1.4083,54.28
19000,1.335,57.62
20000,1.4503,54.93
21000,1.183,51.67
22000,1.0792,52.17
23000,1.0137,54.18
24000,1.0657,54.05
25000,1.0013,53.1
26000,1.1784,51.62
27000,1.1854,57.1
28000,1.2659,56.91
29000,1.4315,52.84
