timestamp,gsr_z,hr_bpm
0,0.3151,68.49
1000,0.6008,65.64
2000,0.7328,60.86
3000,0.701,68.45
4000,0.704,66.92
5000,0.5352,58.83
6000,0.5569,63.04
7000,0.216,67.3
8000,0.1523,66.5
9000,-0.065,59.61
10000,-0.0448,64.88
11000,-0.0745,66.36
12000,0.0885,62.82
13000,-0.0906,62.36
14000,-0.0099,64.17
15000,0.2095,63.2
16000,-0.1217,62.0
17000,-0.3005,66.64
18000,-0.4968,67.8
19000,-0.5554,67.96
20000,-0.6114,64.91
21000,-0.6071,69.19
22000,-0.5635,67.92
23000,-0.579,65.41
24000,-0.6394,66.35
25000,-0.5876,72.11
26000,-0.614,73.07
27000,-0.6245,66.92
28000,-0.6361,67.38
29000,-0.5462,73.83
