timestamp,gsr_z,hr_bpm
0,0.5973,67.08
1000,0.2567,68.0
2000,0.3474,66.83
3000,0.37,67.48
4000,0.4945,68.61
5000,0.4099,62.33
6000,0.1888,62.1
7000,0.2599,66.16
8000,0.3217,59.86
9000,0.1367,56.09
10000,-0.068,58.0
11000,0.0764,58.26
12000,0.0438,53.77
13000,-0.0323,57.8
14000,-0.2208,60.47
15000,-0.2079,55.62
16000,-0.2868,57.2
17000,-0.4014,60.91
18000,-0.5491,58.19
19000,-0.6327,58.07
20000,-0.6165,67.84
21000,-0.6107,63.37
22000,-0.6191,60.91
23000,-0.598,66.28
24000,-0.5934,67.15
25000,-0.6135,62.32
26000,-0.5759,64.72
27000,-0.6028,64.03
28000,-0.57,59.33
29000,-0.5901,61.92
