timestamp,gsr_z,hr_bpm
0,0.8376,63.05
1000,0.7859,62.51
2000,0.8494,59.88
3000,1.0125,60.71
4000,0.9777,60.22
5000,1.1232,65.31
6000,1.1539,63.16
7000,1.2893,61.67
8000,1.4087,64.76
9000,1.3875,68.77
10000,1.2485,66.52
11000,1.0352,67.64
12000,0.9738,69.8
13000,1.2336,72.45
14000,1.3359,74.12
15000,1.4139,70.69
16000,1.4077,70.77
17000,1.3903,76.16
18000,1.4084,72.8
19000,1.4341,69.06
20000,1.1966,66.3
21000,1.4024,70.63
22000,1.3529,68.12
23000,1.4366,67.97
24000,1.3829,64.35
25000,1.4046,66.32
26000,1.4038,66.35
27000,1.2453,63.05
28000,1.3904,60.85
29000,1.2818,63.02
