timestamp,gsr_z,hr_bpm
0,0.3729,52.63
1000,0.1923,62.49
2000,0.128,62.96
3000,0.0875,57.99
4000,0.0696,59.34
5000,0.3258,59.92
6000,0.3519,56.06
7000,0.3005,59.52
8000,0.1953,65.24
9000,0.4156,63.48
10000,0.1249,59.99
11000,-0.3105,63.0
12000,-0.3737,62.27
13000,-0.3495,53.93
14000,-0.6004,53.45
15000,-0.5831,55.02
16000,-0.5551,54.66
17000,-0.6199,51.44
18000,-0.4771,52.77
19000,-0.5337,54.75
20000,-0.6248,51.96
21000,-0.5803,51.96
22000,-0.5961,57.69
23000,-0.6329,52.7
24000,-0.6019,53.35
25000,-0.6208,54.65
26000,-0.5578,57.27
27000,-0.6228,52.45
28000,-0.5952,52.61
29000,-0.5872,54.35
