timestamp,gsr_z,hr_bpm
0,0.5457,52.35
1000,0.4964,55.17
2000,0.5309,58.19
3000,0.5255,56.48
4000,0.7047,51.67
5000,0.6811,51.92
6000,0.5849,52.22
7000,0.7871,54.04
8000,0.8358,55.08
9000,0.8688,54.74
10000,1.0818,51.8
11000,1.2585,55.79
12000,1.2005,56.49
13000,1.2441,55.38
14000,1.1421,51.96
15000,1.0952,55.19
16000,0.9676,57.34
17000,1.0688,56.71
18000,1.1109,51.93
19000,1.1607,52.41
20000,1.4398,56.61
21000,1.3594,59.78
22000,1.0276,61.62
23000,1.3869,59.68
24000,1.4722,58.81
25000,1.3931,58.79
26000,1.3993,59.91
27000,1.4228,57.42
28000,1.4188,55.19
29000,1.4124,56.63
