timestamp,gsr_z,hr_bpm
0,-0.1634,65.24
1000,-0.1606,60.82
2000,-0.1015,69.28
3000,0.4372,68.97
4000,0.6526,64.59
5000,0.736,66.62
6000,1.0791,70.41
7000,1.1072,68.75
8000,1.2747,64.23
9000,1.3508,66.59
10000,1.1687,69.34
11000,1.1598,62.76
12000,0.9708,60.8
13000,0.9702,62.52
14000,1.0595,64.58
15000,1.3236,61.59
16000,1.2537,64.1
17000,1.0503,71.07
18000,0.7453,70.91
19000,1.0787,65.92
20000,1.3361,67.08
21000,1.2993,69.77
22000,1.323,64.55
23000,1.39,57.52
24000,1.4037,61.04
25000,1.2445,63.9
26000,1.3662,61.33
27000,1.3947,61.47
28000,1.4507,67.57
29000,1.3782,68.43
