timestamp,gsr_z,hr_bpm
0,3.713,88.76
1000,3.8755,84.63
2000,3.5603,87.45
3000,3.8988,93.58
4000,5.0943,96.57
5000,6.1384,89.62
6000,6.4498,88.99
7000,6.3111,91.66
8000,6.2145,104.17
9000,5.8965,100.26
10000,4.3044,96.58
11000,4.7041,82.05
12000,4.4844,87.57
13000,3.4823,90.94
14000,2.8606,82.6
15000,2.6545,79.35
16000,2.576,78.74
17000,2.189,77.97
18000,2.1858,77.75
19000,2.5698,80.69
20000,2.2538,83.15
21000,2.2397,87.19
22000,2.2112,77.83
23000,3.6199,83.25
24000,4.3089,89.83
25000,4.1022,90.6
26000,4.4378,91.49
27000,4.5158,97.56
28000,4.9639,96.61
29000,4.6784,89.6
